"","FN","state","Conc_per","n","avg","sd","se"
"1","ControlN","NA",0.1,9,1.02134997759561,0.0458897735963088,0.0152965911987696
"2","ControlN","NA",1,27,0.989945548774474,0.100168509846252,0.0192774387080191
"3","ControlP","NA",0.1,6,1.58017267256559,0.0887694713829253,0.03623998493746
"4","ControlP","NA",1,18,1.58201066793469,0.0793261962943854,0.018697363775165
"5","dmso","NA",0.1,9,1,0.0384587643632954,0.0128195881210985
"6","dmso","NA",1,27,1,0.0777675091828746,0.0149663641203131
"7","hppe_e425","new",1,9,1.03894498806531,0.0652936176215728,0.0217645392071909
"8","hppe_e425","used",1,9,1.11939702641184,0.17142271022756,0.0571409034091867
"9","pa_a35","new",0.1,9,1.01303200263939,0.0488863466400668,0.0162954488800223
"10","pa_a35","used",0.1,9,1.1080984868096,0.110076903164369,0.0366923010547895
"11","pa_b33","new",1,9,0.972725252067265,0.337708655944119,0.112569551981373
"12","pa_b33","used",1,9,0.978020811194594,0.0766298517321954,0.0255432839107318
"13","pa_b95","new",1,9,0.977409456348168,0.0979278604014571,0.032642620133819
"14","pa_b95","used",1,9,0.983219446565053,0.0457098623271835,0.0152366207757278
"15","pa_g33","new",1,9,1.06016123301061,0.260173030523131,0.0867243435077103
"16","pa_g33","used",1,9,1.31217325830936,0.205314038115489,0.068438012705163
"17","pa_g60","new",0.1,9,1.06175313346998,0.179055820734907,0.0596852735783025
"18","pa_g60","used",0.1,9,1.16535977942417,0.150347086566461,0.0501156955221536
"19","pbs_d35","new",1,9,1.03196637814557,0.156736749111993,0.0522455830373309
"20","pbs_d35","used",1,9,1.01788236249432,0.215378508046936,0.0717928360156452
"21","pbs_d60","new",1,9,1.04217614937447,0.0870397176478343,0.0290132392159448
"22","pbs_d60","used",1,9,1.07882247162067,0.106160505509763,0.0353868351699209
