"","FN","state","n","avg","sd","se"
"1","ControlN","NA",9,109.071910393906,8.66993028887501,2.88997676295834
"2","ControlP","NA",9,34.7211820445343,3.30047389746806,1.10015796582269
"3","dmso","NA",9,100,2.77764938996485,0.925883129988283
"4","hppe_e425","new",9,88.932005097763,10.1821222569641,3.39404075232136
"5","hppe_e425","used",9,91.0721540541929,9.13784378297103,3.04594792765701
"6","pa_a35","new",9,91.1184861240227,8.81945969144583,2.93981989714861
"7","pa_a35","used",9,75.403089231083,10.0099620304953,3.33665401016509
"8","pa_b33","new",9,96.2305456108732,14.966202864398,4.98873428813267
"9","pa_b33","used",9,87.1104704326572,9.77899635762252,3.25966545254084
"10","pa_b95","new",9,88.8265923026155,7.75036497770008,2.58345499256669
"11","pa_b95","used",9,92.5875165311272,5.10117352644329,1.7003911754811
"12","pa_g33","new",9,87.0862896634743,10.4313781391522,3.47712604638405
"13","pa_g33","used",9,89.788954528584,6.93475321308157,2.31158440436052
"14","pa_g60","new",9,91.0616083355835,4.42757505588993,1.47585835196331
"15","pa_g60","used",9,50.5756010659781,20.2323582286347,6.7441194095449
"16","pbs_d35","new",9,89.4839750240427,7.79679099921008,2.59893033307003
"17","pbs_d35","used",9,94.3284797146869,6.20388004117267,2.06796001372422
"18","pbs_d60","new",9,97.8850977750217,16.4037609059656,5.46792030198853
"19","pbs_d60","used",9,105.393715741805,27.2435525518081,9.08118418393604
