"","FN","state","Organism","Bioassay","endpt","endpt_UV","n","diff","ctl_0","score"
"1","alpha","n","medaka","Behavior","BLA_OFF","BLA_OFF_n",37,NA,0.85,NA
"2","beta33","n","medaka","Behavior","BLA_OFF","BLA_OFF_n",37,NA,0.98,NA
"3","beta95","n","medaka","Behavior","BLA_OFF","BLA_OFF_n",36,NA,1.49,NA
"4","delta35","n","medaka","Behavior","BLA_OFF","BLA_OFF_n",39,NA,1.05,NA
"5","delta60","n","medaka","Behavior","BLA_OFF","BLA_OFF_n",38,NA,0.67,NA
"6","epsi","n","medaka","Behavior","BLA_OFF","BLA_OFF_n",40,NA,1.08,NA
"7","gamma33","n","medaka","Behavior","BLA_OFF","BLA_OFF_n",38,NA,1.62,NA
"8","gamma60","n","medaka","Behavior","BLA_OFF","BLA_OFF_n",35,NA,1.06,NA
"9","alpha","u","medaka","Behavior","BLA_OFF","BLA_OFF_u",48,NA,0.65,NA
"10","beta33","u","medaka","Behavior","BLA_OFF","BLA_OFF_u",48,NA,0.92,NA
"11","beta95","u","medaka","Behavior","BLA_OFF","BLA_OFF_u",48,NA,0.89,NA
"12","delta35","u","medaka","Behavior","BLA_OFF","BLA_OFF_u",45,NA,0.71,NA
"13","delta60","u","medaka","Behavior","BLA_OFF","BLA_OFF_u",40,"**",0.41,2
"14","epsi","u","medaka","Behavior","BLA_OFF","BLA_OFF_u",38,NA,0.81,NA
"15","gamma33","u","medaka","Behavior","BLA_OFF","BLA_OFF_u",45,NA,1.59,NA
"16","gamma60","u","medaka","Behavior","BLA_OFF","BLA_OFF_u",48,NA,0.92,NA
"17","alpha","n","medaka","Behavior","BLA_LON","BLA_LON_n",49,"**",1.3,1
"18","beta33","n","medaka","Behavior","BLA_LON","BLA_LON_n",48,"***",1.61,3
"19","beta95","n","medaka","Behavior","BLA_LON","BLA_LON_n",48,"**",1.26,1
"20","delta35","n","medaka","Behavior","BLA_LON","BLA_LON_n",48,NA,1.18,NA
"21","delta60","n","medaka","Behavior","BLA_LON","BLA_LON_n",47,"*",1.27,1
"22","epsi","n","medaka","Behavior","BLA_LON","BLA_LON_n",49,"****",1.59,2
"23","gamma33","n","medaka","Behavior","BLA_LON","BLA_LON_n",47,"**",1.32,1
"24","gamma60","n","medaka","Behavior","BLA_LON","BLA_LON_n",44,NA,1.02,NA
"25","alpha","u","medaka","Behavior","BLA_LON","BLA_LON_u",48,"*",0.68,1
"26","beta33","u","medaka","Behavior","BLA_LON","BLA_LON_u",48,NA,0.96,NA
"27","beta95","u","medaka","Behavior","BLA_LON","BLA_LON_u",48,NA,1.06,NA
"28","delta35","u","medaka","Behavior","BLA_LON","BLA_LON_u",45,NA,1.1,NA
"29","delta60","u","medaka","Behavior","BLA_LON","BLA_LON_u",40,"**",0.51,2
"30","epsi","u","medaka","Behavior","BLA_LON","BLA_LON_u",38,NA,0.87,NA
"31","gamma33","u","medaka","Behavior","BLA_LON","BLA_LON_u",45,NA,1.08,NA
"32","gamma60","u","medaka","Behavior","BLA_LON","BLA_LON_u",48,NA,0.9,NA
"33","alpha","n","medaka","Behavior","TPZ_LOFF1","TPZ_LOFF1_n",37,NA,1.02,NA
"34","beta33","n","medaka","Behavior","TPZ_LOFF1","TPZ_LOFF1_n",37,NA,1.22,NA
"35","beta95","n","medaka","Behavior","TPZ_LOFF1","TPZ_LOFF1_n",36,NA,1.07,NA
"36","delta35","n","medaka","Behavior","TPZ_LOFF1","TPZ_LOFF1_n",39,NA,1.21,NA
"37","delta60","n","medaka","Behavior","TPZ_LOFF1","TPZ_LOFF1_n",37,NA,0.99,NA
"38","epsi","n","medaka","Behavior","TPZ_LOFF1","TPZ_LOFF1_n",40,NA,1.24,NA
