dmso;pa_a35_n;pa_a35_n;pa_a35_n;pa_a35_n;pa_a35_n;pa_a35_u;pa_a35_u;pa_a35_u;pa_a35_u;pa_a35_u;pa_g60_n;pa_g60_n;pa_g60_n;pa_g60_n;pa_g60_n;pa_g60_u;pa_g60_u;pa_g60_u;pa_g60_u;pa_g60_u
1;1;0,5;0,1;0,05;0,01;1;0,5;0,1;0,05;0,01;1;0,5;0,1;0,05;0,01;1;0,5;0,1;0,05;0,01
103,1511254;95,16881029;88,34807074;97,46382637;104,0635048;64,14389068;76,54340836;76,0892283;96,55144695;101,7524116;90,17684887;83,34003215;100,5546624;75,06832797;79,30868167;84,32475884;44,2926045;72,32525845;81,24980713;97,02515044;105,2090727
89,8392283;93,75803859;81,90916399;73,5892283;78,91881029;66,10530547;66,05707395;80,75160772;95,0562701;75,58279743;92,91398714;97,38344051;100,6551447;77,27090032;95,7596463;65,2733118971061x;42,40353698;80,24996143;96,76593118;97,98796482;99,86730443
107,0096463;106,3946945;106,085209;74,2403537;91,70418006;94,86334405;92,39549839;74,75080386;92,76125402;96,57154341;83,01446945;104,244373;101,085209;97,68488746;93,27170418;89,1318328;40,83601286;78,48171578;102,1169573;90,81314612;101,5059404
106,4298467;68,04374081;97,23797522;99,83721907;98,23829028;96,00136526;53,00357068;49,80177484;49,74270111;95,01680319;99,03775467;95,82808234;92,85470489;80,36258139;88,58170552;86,34871876;47,48608486;82,03451511;93,77931936;115,059847;107,9379069
97,86021844;89,88132745;98,09257509;96,19040118;78,95268851;95,2215921;80,98876286;50,84147238;50,23498215;96,83233564;91,77956312;92,93740811;101,4046419;89,1015543;91,56689771;85,25388574;47,65936778;80,32866119;80,8318881;105,8141188;104,0912063
95,70993489;91,51963873;99,04169292;63,03035077;98,37612896;93,52814535;77,03869985;48,9826192;49,23466709;95,02074144;76,32981516;108,9188196;91,90952531;89,03460407;94,44969544;91,9252783;49,73482462;82,15392489;86,00609116;103,0421062;102,9312257
106,9192167;104,865543;98,28724159;109,5129002;101,0936562;104,7182676;56,64102984;102,3454972;100,6191022;93,01805487;100,1200022;101,2982054;103,630066;101,6991218;100,5291005;95,81628757;42,51077292;81,64517025;94,41934425;95,40372044;95,41129256
96,32356952;96,66721213;100,0381825;101,7482136;103,8346152;101,9936726;56,58375607;99,44089893;95,90628921;97,62450226;94,95718104;101,2245677;94,29444172;100,660012;97,10085638;96,47902689;48,28724159;75,97364901;98,42499811;93,43496807;97,88737727
96,75721377;101,5436644;102,5418644;102,8118693;100,2672776;97,31358752;60,47837233;96,55266459;98,52451863;96,58539246;98,5817924;101,8218513;97,55086456;96,38902526;97,57541046;94,72808597;45,39900725;81,38014589;93,73785305;95,58545142;90,30010853
110,0601759;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96,42339145;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
93,51643265;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
105,5923578;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95,4254684;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
98,98217383;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
100,7875009;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
104,1116636;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95,10083546;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
