Country (Country),ASFIS species (ASFIS species),FAO major fishing area (FAO major fishing area),Detailed production source (Detailed production source),Unit (Unit),2022,2023
Belgium,Brill,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.9,1.9
Belgium,Megrims nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,15,16.8
Belgium,Common sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,159.7,197.2
Belgium,Sand sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.1,0.5
Belgium,Turbot,"Atlantic, Northeast",Capture production,Tonnes - live weight,1,2.5
Belgium,Witch flounder,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.2,NA
Belgium,Pouting(=Bib),"Atlantic, Northeast",Capture production,Tonnes - live weight,1.5,2.5
Belgium,European hake,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.7,3.8
Belgium,Whiting,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.2,0.3
Belgium,Mullets nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.3,0.6
Belgium,Surmullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.1,3.2
Belgium,Greater weever,"Atlantic, Northeast",Capture production,Tonnes - live weight,4.6,9
Belgium,European conger,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.4,0.5
Belgium,Grey gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.8,1
Belgium,Red gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.1
Belgium,Tub gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,15.7,22.8
Belgium,Thornback ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.3,0.4
Belgium,Small-Spotted catshark,"Atlantic, Northeast",Capture production,Tonnes - live weight,9.9,9.2
Belgium,Edible crab,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.3,0.2
Belgium,Whelk,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.3
Belgium,Great atlantic scallop,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.2,0.3
Belgium,Common cuttlefish,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.7,19.7
Belgium,Octopuses nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,38.8,33.1
Belgium,Common squids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.1
France,European eel,"Atlantic, Northeast",Capture production,Tonnes - live weight,18.982,20.208
France,Atlantic salmon,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.953,3.377
France,European smelt,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.508,0.306
France,Sea trout,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.959,1.81
France,Allis shad,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.244,4.736
France,Allis and twaite shads,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.688,8.448
France,Twaite shad,"Atlantic, Northeast",Capture production,Tonnes - live weight,4.593,2.497
France,Sea lamprey,"Atlantic, Northeast",Capture production,Tonnes - live weight,4.843,NA
France,Brill,"Atlantic, Northeast",Capture production,Tonnes - live weight,39.5907796976242,40.133
France,Wedge sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,412.839,710.157
France,Spotted flounder,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.168,0.019
France,Common dab,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.274,0.507
France,Lemon sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.403,0.186
France,Megrims nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,67.6075831533477,111.953876889849
France,Thickback sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.064,2.345
France,Senegalese sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,49.853,34.05
France,Amer. plaice(=long rough dab),"Atlantic, Northeast",Capture production,Tonnes - live weight,1.326,0.462
France,European plaice,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.407,2.34
France,Common sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,846.645628509719,930.289069114471
France,Sand sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,113.291397408207,97.581
France,Turbot,"Atlantic, Northeast",Capture production,Tonnes - live weight,35.744939524838,43.2520691144708
France,Pouting(=Bib),"Atlantic, Northeast",Capture production,Tonnes - live weight,113.054874730022,80.7717257019439
France,Blue ling,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.29688768898488,2.19229805615551
France,Atlantic cod,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.032,0.056
France,Gadiformes nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,22.494,19.764
France,Haddock,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.777,2.422
France,European hake,"Atlantic, Northeast",Capture production,Tonnes - live weight,3997.33725701944,3311.57239524838
France,Ling,"Atlantic, Northeast",Capture production,Tonnes - live weight,4.072,3.83320950323974
France,Saithe(=Pollock),"Atlantic, Northeast",Capture production,Tonnes - live weight,0.545,0.159
France,Pollack,"Atlantic, Northeast",Capture production,Tonnes - live weight,25.5557796976242,19.8940043196544
France,Roundnose grenadier,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.089
France,Rocklings nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.034,0.185
France,Blue whiting(=poutassou),"Atlantic, Northeast",Capture production,Tonnes - live weight,5.15428941684665,2.5137494600432
France,Whiting,"Atlantic, Northeast",Capture production,Tonnes - live weight,211.874,181.394483801296
France,Combers nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.133
France,Bogue,"Atlantic, Northeast",Capture production,Tonnes - live weight,24.7084989200864,7.89827213822894
France,Black seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,51.0142483801296,39.78
France,European seabass,"Atlantic, Northeast",Capture production,Tonnes - live weight,522.88703887689,568.814347732181
France,Whitemouth croaker,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.013
France,Common two-banded seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.013,0.215
France,Common dentex,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.158,0.195
France,Dusky grouper,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.776,1.37505831533477
France,Leaping mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,22.644,19.148
France,Golden grey mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.897,6.201
France,Thinlip grey mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,46.483,27.648
France,Meagre,"Atlantic, Northeast",Capture production,Tonnes - live weight,815.334857451404,525.879
France,Mugil spp,"Atlantic, Northeast",Capture production,Tonnes - live weight,4.961,4.021
France,Thicklip grey mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,55.463,42.646
France,Mediterranean moray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.08,NA
France,Surmullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,198.861095032397,274.680639308855
France,Boxlip mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.493,0.998
France,Common pandora,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.55309935205184,2.563
France,Percoids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.045,NA
France,Red porgy,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.602,0.548
France,Sandeels(=Sandlances) nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.012,0.029
France,Axillary seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,21.227,10.366
France,Gilthead seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,40.8873693304536,36.053
France,Blackspot seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.412,0.347
France,Saddled seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.665,2.37144924406048
France,"Porgies, seabreams nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.015,NA
