3alpha_code,name_en,scientific_name,genus,family,major_group,isscaap_group,name_no_nei,fao_group,match_category,species
gxm,NA,NA,NA,NA,NA,NA,NA,NA,NA,siamese algae-eater
cdo,NA,NA,NA,NA,NA,NA,NA,NA,NA,river carpsucker
atc,NA,NA,NA,NA,NA,NA,NA,NA,NA,longnose sucker
ato,NA,NA,NA,NA,NA,NA,NA,NA,NA,white sucker
ats,NA,NA,NA,NA,NA,NA,NA,NA,NA,flannelmouth sucker
atu,NA,NA,NA,NA,NA,NA,NA,NA,NA,largescale sucker
ate,NA,NA,NA,NA,NA,NA,NA,NA,NA,tahoe sucker
atj,NA,NA,NA,NA,NA,NA,NA,NA,NA,cui-ui
ycl,NA,NA,NA,NA,NA,NA,NA,NA,NA,blue sucker
deu,NA,NA,NA,NA,NA,NA,NA,NA,NA,lost river sucker
eru,NA,NA,NA,NA,NA,NA,NA,NA,NA,lake chubsucker
hyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern hog sucker
bub,NA,NA,NA,NA,NA,NA,NA,NA,NA,bigmouth buffalo
buf,NA,NA,NA,NA,NA,NA,NA,NA,NA,buffalofishes nei
mim,NA,NA,NA,NA,NA,NA,NA,NA,NA,spotted sucker
mog,NA,NA,NA,NA,NA,NA,NA,NA,NA,gray redhorse
moe,NA,NA,NA,NA,NA,NA,NA,NA,NA,golden redhorse
lal,NA,NA,NA,NA,NA,NA,NA,NA,NA,harelip sucker
mom,NA,NA,NA,NA,NA,NA,NA,NA,NA,shorthead redhorse
mxs,NA,NA,NA,NA,NA,NA,NA,NA,NA,chinese sucker
xyt,NA,NA,NA,NA,NA,NA,NA,NA,NA,razorback sucker
ctm,NA,NA,NA,NA,NA,NA,NA,NA,NA,suckers nei
bod,NA,NA,NA,NA,NA,NA,NA,NA,NA,bengal loach
bwx,NA,NA,NA,NA,NA,NA,NA,NA,NA,botia spp
bmw,NA,NA,NA,NA,NA,NA,NA,NA,NA,clown loach
leu,NA,NA,NA,NA,NA,NA,NA,NA,NA,parabotia curtus
boh,NA,NA,NA,NA,NA,NA,NA,NA,NA,tiger loach
yhm,NA,NA,NA,NA,NA,NA,NA,NA,NA,redtail botia
vai,NA,NA,NA,NA,NA,NA,NA,NA,NA,vaillantella cinnamomea
hpd,NA,NA,NA,NA,NA,NA,NA,NA,NA,acanthopsoides delphax
tpc,NA,NA,NA,NA,NA,NA,NA,NA,NA,horseface loach
sog,NA,NA,NA,NA,NA,NA,NA,NA,NA,canthophrys gongota
biw,NA,NA,NA,NA,NA,NA,NA,NA,NA,cobitis biwae
ikc,NA,NA,NA,NA,NA,NA,NA,NA,NA,choi's spiny loach
nwd,NA,NA,NA,NA,NA,NA,NA,NA,NA,cobitis delicata
bim,NA,NA,NA,NA,NA,NA,NA,NA,NA,cobitis maroccana
bio,NA,NA,NA,NA,NA,NA,NA,NA,NA,cobitis melanoleuca
fnw,NA,NA,NA,NA,NA,NA,NA,NA,NA,southern iberian spined loach
bit,NA,NA,NA,NA,NA,NA,NA,NA,NA,spined loach
led,NA,NA,NA,NA,NA,NA,NA,NA,NA,lepidocephalichthys annandalei
leg,NA,NA,NA,NA,NA,NA,NA,NA,NA,guntea loach
lei,NA,NA,NA,NA,NA,NA,NA,NA,NA,lepidocephalichthys thermalis
kur,NA,NA,NA,NA,NA,NA,NA,NA,NA,pond loach
pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,misgurnus dabryanus
mwt,NA,NA,NA,NA,NA,NA,NA,NA,NA,weatherfish
zmm,NA,NA,NA,NA,NA,NA,NA,NA,NA,chinese muddy loach
num,NA,NA,NA,NA,NA,NA,NA,NA,NA,neoeucirrhichthys maydelli
nag,NA,NA,NA,NA,NA,NA,NA,NA,NA,pangio agma
bia,NA,NA,NA,NA,NA,NA,NA,NA,NA,golden spined loach
