dataset,flag,geartype,hours,mmsi,shipName,vesselId,vesselType,value,activityDatasetId,flagTranslated
public-global-vessel-identity:v3.0,ESP,Trawler,4983.7535194444445,224105000,F/V ANTIUKO AMA,608d8eaf7-7017-8f73-cb52-48e69d552a29,FISHING,4983.7535194444445,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Trawler,4516.237847777777,224265000,F/V EGUZKI LORE,af1d576b7-7ce5-f804-6366-4997148994be,FISHING,4516.237847777777,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,4210.706666666667,228357700,F/V LE SOLITAIRE 2,7147e634b-b748-6e98-9da9-5ddc5a70fdc5,FISHING,4210.706666666667,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Set longline,4075.187465277778,224130870,HERMANOS BUSTO,d4b077a63-38d9-7def-4334-02f6e1b3722d,FISHING,4075.187465277778,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Fishing,4067.1889416666663,228185800,F/V-AUSTRAL,3ecc4e63f-f2a0-5148-b9ac-ab4d3a2ee92e,FISHING,4067.1889416666663,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Trawler,4019.9757383333335,228107000,F/V L`AS DES AS,42ab6fc93-3c80-e128-cb52-614290f3af65,FISHING,4019.9757383333335,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Set gillnet,3979.343646944445,228178000,F/V CAP HORN 2,62d191095-57f3-5502-cb86-5f30da385451,FISHING,3979.343646944445,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Trawler,3830.343295,224087530,F/V AKETXE,63b4bfdf3-3329-005f-4357-34669087db78,FISHING,3830.343295,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Trawler,3821.611666666666,224139000,F/V INTXORTA MENDI,3d4583bc3-36fa-4383-dcdd-b0d91b85d4f3,FISHING,3821.611666666666,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Trawler,3812.3971244444447,224073390,F/V GAZTELUGATXE,1dc2190a3-3156-8838-2ae7-66763ec1fc4c,FISHING,3812.3971244444447,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,3761.578792777777,227977000,F/V ROSEAU DU LAC,0793bd984-4c81-81f0-8157-068f89f8f941,FISHING,3761.578792777777,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Trawler,3750.568604166666,228113000,F/V LE MEDELUC,3f818502f-f81b-88dd-99da-9d4c67141a7c,FISHING,3750.568604166666,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Set gillnet,3625.8722222222223,227834000,F/V CALEBARIAN,5d4b74621-1aa6-fb9b-4dd3-bafd73567c21,FISHING,3625.8722222222223,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Set gillnet,3571.227079166667,227100500,F/V LE CHAT,3f2a8df32-2233-7524-b178-997a80fba32d,FISHING,3571.227079166667,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Trawler,3544.140405277778,224361000,F/V KAXARRA,732f5272d-db8d-747d-0dde-20f001508049,FISHING,3544.140405277778,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,3538.3122222222223,227424000,F/V JOHAN-JE II,0f86e9b7c-cb17-5a9d-05c8-101dc9adf886,FISHING,3538.3122222222223,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Trawler,3510.680482777777,228101000,F\V L`ORA MARITIMA,39642f896-6f84-a35f-6435-80ff2a738d6a,FISHING,3510.680482777777,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Set longline,3449.8063230555563,224076440,HNOS.RAINA,a69148706-6cf6-82ea-e5d6-43ce289b179a,FISHING,3449.8063230555563,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Trawler,3317.876558333333,224404000,GURE GASKUNA,ca2551145-5759-957f-701f-599b600fe706,FISHING,3317.876558333333,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,3198.993888888889,228249000,F/V EXCALIBUR 2,45ce8ed50-09e8-ac1b-7ca6-669c04fb891e,FISHING,3198.993888888889,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Trawler,3177.2457091666665,228224900,F/V L'INSOLITE,59d30cc2e-e1ef-6d39-d16d-a7a7a87f1b55,FISHING,3177.2457091666665,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Trawler,3177.1044444444437,227589000,F/V LE SPHINX,d3c207859-9dee-2a02-3197-ddad8ec4c7f9,FISHING,3177.1044444444437,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Trawler,3175.198559444444,227928000,F/V LA PASTENAGUE,c558a86de-e330-910b-67b3-b0a850837c16,FISHING,3175.198559444444,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Trawler,3121.391388888889,224315000,F/V KAXU,70b6a5032-2df9-1ca7-10a9-4f9b34e514fc,FISHING,3121.391388888889,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Set longline,3064.9822136111106,224139890,MADRE PILAR,6254a7783-354e-016a-3df7-cc8aef5af041,FISHING,3064.9822136111106,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,3053.442273333333,228036700,F/V PETIT LOIC,b3dfd83f6-69a6-c636-626a-cb396d29ccdb,FISHING,3053.442273333333,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Set longline,3031.016766111111,224025230,ATAIN,cb4d0b271-13dd-3f68-c916-8413cb9d1c5f,FISHING,3031.016766111111,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,2973.1422222222222,227875000,F/V OCEANE III,26b1bb6c2-2d03-d3af-a3c0-d76cf9189ec3,FISHING,2973.1422222222222,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Fishing,2971.9265377777774,228362700,F/V ILE VERTIME,65376b22a-a5e2-5f34-fdec-8a2a0c0a63f2,FISHING,2971.9265377777774,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Set longline,2890.866427222222,225361000,F/V MATALENAS 2,980ecf951-1c24-b08b-5f11-bd7f39ebb444,FISHING,2890.866427222222,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Trawler,2807.5813888888893,227878000,F/V OUTSIDER,d674df79b-ba21-4230-e418-0f6563a4e293,FISHING,2807.5813888888893,public-global-fishing-effort:v3.0,France
