dataset,flag,geartype,hours,mmsi,shipName,vesselId,vesselType,value,activityDatasetId,flagTranslated
public-global-vessel-identity:v3.0,FRA,Other,8761,227005280,VB COGNAC,3f602c4fd-d241-24b7-a65b-2b33d39b6815,OTHER,8761,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other,8761,225415000,IBAIZABAL ONCE,abdcdb226-6adf-31d1-16c9-d344d357d318,OTHER,8761,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other,8759,225403000,IBAIZABAL QUINCE,73982297c-c62b-8770-c201-989b4647eefb,OTHER,8759,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Seismic vessel,8758,224807000,BERTHA B,fa9af851a-ace4-8d30-d629-0fb393a6ca8b,SEISMIC_VESSEL,8758,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Passenger,8690,227826030,SUNNY DREAM,e52908244-4553-4c77-6127-a5bec771ef62,PASSENGER,8690,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Passenger,8670,227494810,YAKA,87154d2df-f88c-a1d5-4420-c60cc0808057,PASSENGER,8670,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Passenger,8644,227960840,LA ROCHELLE PILOT019,6dffa537d-d9f9-3179-533f-0a9445d830a3,PASSENGER,8644,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other,8639,224190000,TRHEINTAYUNO,8f1d94f89-9983-df20-3fa6-2233eeea1b30,OTHER,8639,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Passenger,8603,227341160,LAROCHELLE PILOT 014,5f8446ec0-0a94-4a5a-e66d-0a167f2af6e7,PASSENGER,8603,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other,8446,224051780,EL GURUGU,cad8d8c32-221b-19ec-719b-efa1afddcd65,OTHER,8446,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Other,8445,227859930,LA LOUISIANE,a677e5536-609f-60eb-4b88-c8135022fa37,OTHER,8445,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Other,8346,227001640,CAP D AUNIS,ec28542f7-7677-32b5-caf2-d21b96e8b7f6,OTHER,8346,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Trawler,8260,228113000,F/V LE MEDELUC,3f818502f-f81b-88dd-99da-9d4c67141a7c,FISHING,8260,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other,8132,224631000,MARIA DE MAEZTU,b8bb74799-9f61-fc73-a383-8e7bc13c4772,OTHER,8132,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Passenger,8118,227379580,HONALICE,3b37d7c1b-b62d-b250-16bd-0137def076c3,PASSENGER,8118,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Other,8075,228391600,JIF GYPTIS,0bb98bd9e-ec91-0cc2-9a1b-341ef4b311c3,OTHER,8075,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Other,8035,227005260,VB OLERON,a4f51b72e-e5c4-bbfd-639a-fa6f08e0e750,OTHER,8035,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Passenger,8011,224360960,REGINA DOCE,7ace01f03-3e9d-2e00-3498-6151991b9fd4,PASSENGER,8011,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Other,7955,227513290,NOTRE DAME DES FLOTS,a96dc2d87-712c-ebc4-2691-a762dcbc8e9c,OTHER,7955,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other,7907,224097430,IBAIZABAL SEIS,be5f2b74d-d006-aaef-30d7-b3803a5b758c,OTHER,7907,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other,7898,224422360,CLARA G,d980ffccf-fb64-6d43-e27f-faccef83ae96,OTHER,7898,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Passenger,7851,227398810,BLEIZ MOR,0ea856199-9207-cffc-02f9-7505a95f8c31,PASSENGER,7851,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Passenger,7811,227297960,HYDROMEL,9430c30e8-8794-3c56-8a92-35f154744018,PASSENGER,7811,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other,7509,224640870,IBAIZABAL OCHO,04e308284-4fd7-20b7-baeb-fc05ea981d4c,OTHER,7509,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,7466,228207000,F/V FLEUR DE SEL,ed06d6dd4-497d-3195-5ad0-3e999a542df9,FISHING,7466,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Set gillnet,7309,227424000,F/V JOHAN-JE II,0f86e9b7c-cb17-5a9d-05c8-101dc9adf886,FISHING,7309,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Fishing,7257,228185800,F/V-AUSTRAL,3ecc4e63f-f2a0-5148-b9ac-ab4d3a2ee92e,FISHING,7257,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other,7248,224829000,IBAIZABAL CATORCE,991eaed51-13c1-59b2-942f-079a39bd4aac,OTHER,7248,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Other,7112,228068600,JIF SURVEYOR,dded13955-52fc-2afb-c8c3-8d1dfa8c6eb6,OTHER,7112,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Trawler,6860,228117000,F/V FRISBY,a4443dd48-8ea5-0755-d7ef-707677dc66a0,FISHING,6860,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Trawler,6853,227589000,F/V LE SPHINX,d3c207859-9dee-2a02-3197-ddad8ec4c7f9,FISHING,6853,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other,6837,224826000,GATIKA,e6f864588-826a-8423-1bf4-b46c50d958d5,OTHER,6837,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Trawler,6821,228224900,F/V L'INSOLITE,59d30cc2e-e1ef-6d39-d16d-a7a7a87f1b55,FISHING,6821,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other,6779,224824000,GALDAMES,9a390c43b-b139-9de7-0d2e-cb4c9e2c1573,OTHER,6779,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,6727,227834000,F/V CALEBARIAN,5d4b74621-1aa6-fb9b-4dd3-bafd73567c21,FISHING,6727,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Passenger,6713,228140340,PAKITO,a2b365fbb-b82e-8cba-e001-c2016d436948,PASSENGER,6713,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Set longline,6537,224076440,HNOS.RAINA,a69148706-6cf6-82ea-e5d6-43ce289b179a,FISHING,6537,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,6462,228178000,F/V CAP HORN 2,62d191095-57f3-5502-cb86-5f30da385451,FISHING,6462,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Passenger,6416,227405430,ENIGMA,10376ea2f-f798-efac-22d8-6043d309bdff,PASSENGER,6416,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Set gillnet,6269,228357700,F/V LE SOLITAIRE 2,7147e634b-b748-6e98-9da9-5ddc5a70fdc5,FISHING,6269,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Trawler,6040,224073390,F/V GAZTELUGATXE,1dc2190a3-3156-8838-2ae7-66763ec1fc4c,FISHING,6040,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,6033,228301000,F/V SHERPA,e7d02e63b-ba76-d9cc-132d-b9c48efe2ce9,FISHING,6033,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Set gillnet,6016,227418000,F/V SERTAN,4f60e6d31-1daf-0f0e-23b6-f7a7a9ae49f2,FISHING,6016,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Trawler,5995,227146400,F/V SAINT-JEAN PPN,ba82c5446-6a59-ba93-4a8a-e89db63cc6c9,FISHING,5995,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Passenger,5948,224224740,PILOTS 1,2a6a8c5ee-e857-13dd-be98-475b3e2cb72d,PASSENGER,5948,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Other,5945,228390900,JIF LACYDON,cd93d62fb-bcd0-24ee-811a-c84b761bbfd4,OTHER,5945,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Passenger,5891,224371730,JAP,55e1c3a6d-d9ea-2719-c7f0-8e100d6f8e2a,PASSENGER,5891,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Fixed gear,5752,224067170,ARLANPI,84bc17b0b-bce0-bdab-3720-02ae3687b867,FISHING,5752,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,GLP,Passenger,5667,329013660,YVYTU,0ed17d3f1-1c30-541a-a3b1-dff2164dbca1,PASSENGER,5667,public-global-presence:v3.0,Guadeloupe
public-global-vessel-identity:v3.0,FRA,Trawler,5487,228101000,F\V L`ORA MARITIMA,39642f896-6f84-a35f-6435-80ff2a738d6a,FISHING,5487,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other,5485,224297000,OMVAC CINCO,7a9f62037-7172-e46f-ca71-9d433f7fa30f,OTHER,5485,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other,5479,225421000,CANTABRIA SEIS,2b368a8a4-44e4-2fbe-c702-06399be386c9,OTHER,5479,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Trawler,5410,224265000,F/V EGUZKI LORE,af1d576b7-7ce5-f804-6366-4997148994be,FISHING,5410,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,5356,227977000,F/V ROSEAU DU LAC,0793bd984-4c81-81f0-8157-068f89f8f941,FISHING,5356,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Other,5307,227224850,MARKO,7e5db6906-63a1-952c-94a7-71c576e2df3f,OTHER,5307,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,NLD,Passenger,5306,244860144,MINDZERO,7702c2bc3-309d-1157-c40e-16ff1d12a14f,PASSENGER,5306,public-global-presence:v3.0,Netherlands
public-global-vessel-identity:v3.0,ESP,Set longline,5279,224139890,MADRE PILAR,6254a7783-354e-016a-3df7-cc8aef5af041,FISHING,5279,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other,5154,224011480,FACAL DIECIOCHO,8c441d199-9852-7663-8b5a-34b7254e71e0,OTHER,5154,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Passenger,5087,224175540,Unknown vessel,1f43381eb-b8aa-0a8f-405b-1c09c6850533,PASSENGER,5087,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Seismic vessel,5070,224612000,JUAN DE LA COSA,45353ba42-21f2-5ef9-0903-488dd9abb72d,SEISMIC_VESSEL,5070,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Passenger,5052,225988670,KLAUDIA,0c29b2c7f-f6e8-6ede-28fd-a21e04551f01,PASSENGER,5052,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Trawler,5047,224087530,F/V AKETXE,63b4bfdf3-3329-005f-4357-34669087db78,FISHING,5047,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Trawler,4985,224105000,F/V ANTIUKO AMA,608d8eaf7-7017-8f73-cb52-48e69d552a29,FISHING,4985,public-global-presence:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Passenger,4982,227092670,FLORELIA 4,b7c019e8c-c877-6040-eec0-c663a19664b0,PASSENGER,4982,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Passenger,4922,228092890,ADDAYA,95f6939b4-4fe3-e467-2d2b-609433c6018c,PASSENGER,4922,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Fishing,4893,227463090,IJIN,3e4cde2a0-0cad-afbe-f774-fa61052d8fa6,FISHING,4893,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Passenger,4738,227881120,THEON,271deb675-5219-01b0-80a8-81357df43cc5,PASSENGER,4738,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,PRT,Cargo or reefer,4725,255806133,SIDER MONICA,3b8dc4855-516c-7938-f3e1-f14d9c363d2e,CARGO,4725,public-global-presence:v3.0,Portugal
public-global-vessel-identity:v3.0,FRA,Passenger,4685,227119250,SAPAYA 6,353861c9a-add6-1173-cb59-a3c7ab1b83f4,PASSENGER,4685,public-global-presence:v3.0,France
public-global-vessel-identity:v3.0,FRA,Trawler,4667,228107000,F/V L`AS DES AS,42ab6fc93-3c80-e128-cb52-614290f3af65,FISHING,4667,public-global-presence:v3.0,France
