Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
GBR;BEL003191989;8816120;MOD;2020-07-28;2020-12-22;C18304;FD283;TRUI VAN HINTE;FD;Fleetwood;MFTX2;Y;Y;Y;Y;;N;235007860;TU;TBB;NK;;;;;40.25;35.86;474.00;0.00;0.00;1470.00;400.00;2;2004-10-19;MFL;;;PA;1989-01-01
GBR;BEL024622000;8740802;MOD;2019-02-21;2020-12-22;C21226;SM462;FLOWING STREAM;SM;Shoreham;MELG9;Y;Y;Y;Y;;N;;DB;DRB;NK;;;;;37.89;32.98;385.00;0.00;0.00;957.00;0.00;2;2019-01-14;MFL;;;PA;2000-01-01
GBR;BEL031981998;9056208;MOD;2019-11-01;2020-09-06;C20742;E198;MARGARET OF LADRAM;E;Exeter;2EWU9;Y;Y;Y;Y;;N;;TU;TBB;NK;;;;;29.86;29.86;264.00;0.00;0.00;749.00;0.00;2;2015-09-07;MFL;;;PA;1998-01-01
GBR;DEU002000300;9187203;MOD;2020-07-31;2020-12-22;C19448;BM181;LASS O DOUNE;BM;Brixham;DFRA;Y;Y;Y;Y;;N;235103644;TU;DRB;DRB;NK;;;;23.97;21.07;150.00;0.00;0.00;221.00;0.00;2;2009-02-12;MFL;;;PA;1998-01-01
GBR;DEU401160101;9021710;MOD;2019-06-04;2020-12-22;C20130;BA4;OSPREY;BA;Ballantrae;2FGY3;Y;Y;Y;Y;;N;;DB;DRB;OTT;DRB;NK;;;23.99;22.74;164.00;0.00;0.00;221.00;0.00;2;2012-02-13;MFL;;;PA;1991-01-01
GBR;DEU401190101;9019418;MOD;2020-07-31;2020-12-22;C19911;BM110;OUR PAMELA JILL;BM;Brixham;2EQU2;Y;Y;Y;Y;;N;235087406;DB;DRB;NK;DRB;;;;23.98;22.55;159.00;0.00;0.00;221.00;0.00;2;2011-06-16;MFL;;;PA;1990-01-01
GBR;DEU401200101;9019389;MOD;2020-07-28;2020-12-22;C19943;BM112;ETERNAL PROMISE;BM;Brixham;2ETK8;Y;Y;Y;Y;;N;;DOX;DRB;TBB;NK;;;;23.98;22.55;119.62;0.00;0.00;221.00;0.00;2;2011-07-12;MFL;;;PA;1900-01-01
GBR;DNK000001730;;MOD;2019-11-05;2020-12-30;C20273;GY451;STORMY C;GY;Grimsby;2GEH2;Y;Y;Y;Y;;N;;WO;FPO;NK;;;;;17.06;15.53;41.00;0.00;0.00;127.00;0.00;1;2013-07-11;MFL;;;PA;1960-01-01
GBR;DNK000003624;;MOD;2018-11-30;2020-11-11;C20418;CY292;ANNETTE;CY;Castlebay;XP4371;Y;Y;Y;Y;;N;;WO;FPO;NK;;;;;16.20;15.06;38.00;0.00;0.00;212.00;0.00;1;2014-05-01;MFL;;;PA;1982-01-01
GBR;DNK000004690;8557360;MOD;2015-11-18;2020-10-29;C19116;GY1477;NORDSTJERNEN;GY;Grimsby;2AMZ4;Y;Y;Y;Y;;N;;WO;FPO;OTB;NK;GN;;;15.60;14.16;32.00;0.00;0.00;116.00;0.00;1;2007-12-11;MFL;;;PA;1976-01-01
