"Gear","tau","unit_median","unit_05","unit_95","oper_median","oper_05","oper_95","diss_median","diss_05","diss_95"
"Trawlers","0.5","0.501","0.236","0.983","1.08e+04","7.15e+03","1.62e+04","356","221","582"
"Trawlers","0.7","1.5","0.68","3.76","3.26e+04","2.09e+04","5.11e+04","1.07e+03","641","1.79e+03"
"Trawlers","0.9","8.15","2.17","32.9","1.84e+05","8.52e+04","4.19e+05","5.98e+03","2.7e+03","1.42e+04"
"Seiners","0.5","1.76","0.188","6.66","4.41e+04","8.78e+03","1.45e+05","651","94.6","5.42e+03"
"Seiners","0.7","7.43","0.818","26.1","1.9e+05","3.69e+04","5.85e+05","2.79e+03","408","2.13e+04"
"Seiners","0.9","36.1","4.1","122","8.97e+05","1.82e+05","2.64e+06","1.27e+04","2.06e+03","9.41e+04"
"Longlines","0.5","11.2","4.7","26.4","6.35e+04","2.94e+04","1.41e+05","2.49e+03","840","6.27e+03"
"Longlines","0.7","23","8.87","58.8","1.3e+05","5.63e+04","3.1e+05","5.24e+03","1.7e+03","1.39e+04"
"Longlines","0.9","80.1","33.4","193","4.45e+05","2.07e+05","9.86e+05","1.76e+04","6.13e+03","4.45e+04"
"Set Gillnets","","15.2","0.515","163","9.27e+04","1.03e+04","6.56e+05","2.75e+03","216","4.06e+04"
